id,acronym,name,color_hex_triplet,graph_id,graph_order,parent_structure_id,structure_id_path,total_voxel_count,overlap_with_previous,previous_only_count,current_only_count
12993,SS1,"Somatosensory areas, layer 1",188064,1,31,453,/997/8/567/688/695/315/453/12993/,,,,
12994,SS2/3,"Somatosensory areas, layer 2/3",188064,1,32,453,/997/8/567/688/695/315/453/12994/,,,,
12995,SS4,"Somatosensory areas, layer 4",188064,1,33,453,/997/8/567/688/695/315/453/12995/,,,,
12996,SS5,"Somatosensory areas, layer 5",188064,1,34,453,/997/8/567/688/695/315/453/12996/,,,,
12997,SS6a,"Somatosensory areas, layer 6a",188064,1,35,453,/997/8/567/688/695/315/453/12997/,,,,
12998,SS6b,"Somatosensory areas, layer 6b",188064,1,36,453,/997/8/567/688/695/315/453/12998/,,,,
322,SSp,Primary somatosensory area,188064,1,37,453,/997/8/567/688/695/315/453/322/,24302098,24302098,0,0
793,SSp1,"Primary somatosensory area, layer 1",188064,1,38,322,/997/8/567/688/695/315/453/322/793/,,,,
346,SSp2/3,"Primary somatosensory area, layer 2/3",188064,1,39,322,/997/8/567/688/695/315/453/322/346/,,,,
865,SSp4,"Primary somatosensory area, layer 4",188064,1,40,322,/997/8/567/688/695/315/453/322/865/,,,,
921,SSp5,"Primary somatosensory area, layer 5",188064,1,41,322,/997/8/567/688/695/315/453/322/921/,,,,
686,SSp6a,"Primary somatosensory area, layer 6a",188064,1,42,322,/997/8/567/688/695/315/453/322/686/,,,,
719,SSp6b,"Primary somatosensory area, layer 6b",188064,1,43,322,/997/8/567/688/695/315/453/322/719/,,,,
353,SSp-n,"Primary somatosensory area, nose",188064,1,44,322,/997/8/567/688/695/315/453/322/353/,3019080,3019080,0,0
558,SSp-n1,"Primary somatosensory area, nose, layer 1",188064,1,45,353,/997/8/567/688/695/315/453/322/353/558/,404326,404326,0,0
838,SSp-n2/3,"Primary somatosensory area, nose, layer 2/3",188064,1,46,353,/997/8/567/688/695/315/453/322/353/838/,640936,640936,0,0
654,SSp-n4,"Primary somatosensory area, nose, layer 4",188064,1,47,353,/997/8/567/688/695/315/453/322/353/654/,548128,548128,0,0
702,SSp-n5,"Primary somatosensory area, nose, layer 5",188064,1,48,353,/997/8/567/688/695/315/453/322/353/702/,567366,567366,0,0
889,SSp-n6a,"Primary somatosensory area, nose, layer 6a",188064,1,49,353,/997/8/567/688/695/315/453/322/353/889/,804808,804808,0,0
929,SSp-n6b,"Primary somatosensory area, nose, layer 6b",188064,1,50,353,/997/8/567/688/695/315/453/322/353/929/,53516,53516,0,0
329,SSp-bfd,"Primary somatosensory area, barrel field",188064,1,51,322,/997/8/567/688/695/315/453/322/329/,6287780,6287780,0,0
981,SSp-bfd1,"Primary somatosensory area, barrel field, layer 1",188064,1,52,329,/997/8/567/688/695/315/453/322/329/981/,839500,839500,0,0
201,SSp-bfd2/3,"Primary somatosensory area, barrel field, layer 2/3",188064,1,53,329,/997/8/567/688/695/315/453/322/329/201/,1516040,1516040,0,0
1047,SSp-bfd4,"Primary somatosensory area, barrel field, layer 4",188064,1,54,329,/997/8/567/688/695/315/453/322/329/1047/,1281604,1281604,0,0
1070,SSp-bfd5,"Primary somatosensory area, barrel field, layer 5",188064,1,55,329,/997/8/567/688/695/315/453/322/329/1070/,1208038,1208038,0,0
1038,SSp-bfd6a,"Primary somatosensory area, barrel field, layer 6a",188064,1,56,329,/997/8/567/688/695/315/453/322/329/1038/,1296044,1296044,0,0
1062,SSp-bfd6b,"Primary somatosensory area, barrel field, layer 6b",188064,1,57,329,/997/8/567/688/695/315/453/322/329/1062/,146554,146554,0,0
480149202,VISrll,Rostrolateral lateral visual area,188064,1,58,329,/997/8/567/688/695/315/453/322/329/480149202/,,,,
480149206,VISrll1,"Rostrolateral lateral visual area, layer 1",188064,1,59,480149202,/997/8/567/688/695/315/453/322/329/480149202/480149206/,,,,
480149210,VISrll2/3,"Rostrolateral lateral visual area, layer 2/3",188064,1,60,480149202,/997/8/567/688/695/315/453/322/329/480149202/480149210/,,,,
480149214,VISrll4,"Rostrolateral lateral visual area, layer 4",188064,1,61,480149202,/997/8/567/688/695/315/453/322/329/480149202/480149214/,,,,
480149218,VISrll5,"Rostrolateral lateral visual area,layer 5",188064,1,62,480149202,/997/8/567/688/695/315/453/322/329/480149202/480149218/,,,,
480149222,VISrll6a,"Rostrolateral lateral visual area, layer 6a",188064,1,63,480149202,/997/8/567/688/695/315/453/322/329/480149202/480149222/,,,,
480149226,VISrll6b,"Rostrolateral lateral visual area, layer 6b",188064,1,64,480149202,/997/8/567/688/695/315/453/322/329/480149202/480149226/,,,,
337,SSp-ll,"Primary somatosensory area, lower limb",188064,1,65,322,/997/8/567/688/695/315/453/322/337/,2352126,2352126,0,0
1030,SSp-ll1,"Primary somatosensory area, lower limb, layer 1",188064,1,66,337,/997/8/567/688/695/315/453/322/337/1030/,299572,299572,0,0
113,SSp-ll2/3,"Primary somatosensory area, lower limb, layer 2/3",188064,1,67,337,/997/8/567/688/695/315/453/322/337/113/,646572,646572,0,0
1094,SSp-ll4,"Primary somatosensory area, lower limb, layer 4",188064,1,68,337,/997/8/567/688/695/315/453/322/337/1094/,272824,272824,0,0
1128,SSp-ll5,"Primary somatosensory area, lower limb, layer 5",188064,1,69,337,/997/8/567/688/695/315/453/322/337/1128/,555260,555260,0,0
478,SSp-ll6a,"Primary somatosensory area, lower limb, layer 6a",188064,1,70,337,/997/8/567/688/695/315/453/322/337/478/,528074,528074,0,0
510,SSp-ll6b,"Primary somatosensory area, lower limb, layer 6b",188064,1,71,337,/997/8/567/688/695/315/453/322/337/510/,49824,49824,0,0
345,SSp-m,"Primary somatosensory area, mouth",188064,1,72,322,/997/8/567/688/695/315/453/322/345/,6209620,6209620,0,0
878,SSp-m1,"Primary somatosensory area, mouth, layer 1",188064,1,73,345,/997/8/567/688/695/315/453/322/345/878/,780612,780612,0,0
657,SSp-m2/3,"Primary somatosensory area, mouth, layer 2/3",188064,1,74,345,/997/8/567/688/695/315/453/322/345/657/,1497244,1497244,0,0
950,SSp-m4,"Primary somatosensory area, mouth, layer 4",188064,1,75,345,/997/8/567/688/695/315/453/322/345/950/,948750,948750,0,0
974,SSp-m5,"Primary somatosensory area, mouth, layer 5",188064,1,76,345,/997/8/567/688/695/315/453/322/345/974/,1217080,1217080,0,0
1102,SSp-m6a,"Primary somatosensory area, mouth, layer 6a",188064,1,77,345,/997/8/567/688/695/315/453/322/345/1102/,1651680,1651680,0,0
2,SSp-m6b,"Primary somatosensory area, mouth, layer 6b",188064,1,78,345,/997/8/567/688/695/315/453/322/345/2/,114254,114254,0,0
369,SSp-ul,"Primary somatosensory area, upper limb",188064,1,79,322,/997/8/567/688/695/315/453/322/369/,3769462,3769462,0,0
450,SSp-ul1,"Primary somatosensory area, upper limb, layer 1",188064,1,80,369,/997/8/567/688/695/315/453/322/369/450/,459820,459820,0,0
854,SSp-ul2/3,"Primary somatosensory area, upper limb, layer 2/3",188064,1,81,369,/997/8/567/688/695/315/453/322/369/854/,978956,978956,0,0
577,SSp-ul4,"Primary somatosensory area, upper limb, layer 4",188064,1,82,369,/997/8/567/688/695/315/453/322/369/577/,523130,523130,0,0
625,SSp-ul5,"Primary somatosensory area, upper limb, layer 5",188064,1,83,369,/997/8/567/688/695/315/453/322/369/625/,792298,792298,0,0
945,SSp-ul6a,"Primary somatosensory area, upper limb, layer 6a",188064,1,84,369,/997/8/567/688/695/315/453/322/369/945/,942014,942014,0,0
1026,SSp-ul6b,"Primary somatosensory area, upper limb, layer 6b",188064,1,85,369,/997/8/567/688/695/315/453/322/369/1026/,73244,73244,0,0
361,SSp-tr,"Primary somatosensory area, trunk",188064,1,86,322,/997/8/567/688/695/315/453/322/361/,1401698,1401698,0,0
1006,SSp-tr1,"Primary somatosensory area, trunk, layer 1",188064,1,87,361,/997/8/567/688/695/315/453/322/361/1006/,205640,205640,0,0
670,SSp-tr2/3,"Primary somatosensory area, trunk, layer 2/3",188064,1,88,361,/997/8/567/688/695/315/453/322/361/670/,423734,423734,0,0
1086,SSp-tr4,"Primary somatosensory area, trunk, layer 4",188064,1,89,361,/997/8/567/688/695/315/453/322/361/1086/,152746,152746,0,0
1111,SSp-tr5,"Primary somatosensory area, trunk, layer 5",188064,1,90,361,/997/8/567/688/695/315/453/322/361/1111/,353006,353006,0,0
9,SSp-tr6a,"Primary somatosensory area, trunk, layer 6a",188064,1,91,361,/997/8/567/688/695/315/453/322/361/9/,232906,232906,0,0
461,SSp-tr6b,"Primary somatosensory area, trunk, layer 6b",188064,1,92,361,/997/8/567/688/695/315/453/322/361/461/,33666,33666,0,0
182305689,SSp-un,"Primary somatosensory area, unassigned",188064,1,93,322,/997/8/567/688/695/315/453/322/182305689/,1262332,1262332,0,0
182305693,SSp-un1,"Primary somatosensory area, unassigned, layer 1",188064,1,94,182305689,/997/8/567/688/695/315/453/322/182305689/182305693/,166240,166240,0,0
182305697,SSp-un2/3,"Primary somatosensory area, unassigned, layer 2/3",188064,1,95,182305689,/997/8/567/688/695/315/453/322/182305689/182305697/,331476,331476,0,0
182305701,SSp-un4,"Primary somatosensory area, unassigned, layer 4",188064,1,96,182305689,/997/8/567/688/695/315/453/322/182305689/182305701/,187930,187930,0,0
182305705,SSp-un5,"Primary somatosensory area, unassigned, layer 5",188064,1,97,182305689,/997/8/567/688/695/315/453/322/182305689/182305705/,257978,257978,0,0
182305709,SSp-un6a,"Primary somatosensory area, unassigned, layer 6a",188064,1,98,182305689,/997/8/567/688/695/315/453/322/182305689/182305709/,294142,294142,0,0
182305713,SSp-un6b,"Primary somatosensory area, unassigned, layer 6b",188064,1,99,182305689,/997/8/567/688/695/315/453/322/182305689/182305713/,24566,24566,0,0
378,SSs,Supplemental somatosensory area,188064,1,100,453,/997/8/567/688/695/315/453/378/,9018162,9018162,0,0
873,SSs1,"Supplemental somatosensory area, layer 1",188064,1,101,378,/997/8/567/688/695/315/453/378/873/,1238064,1238064,0,0
806,SSs2/3,"Supplemental somatosensory area, layer 2/3",188064,1,102,378,/997/8/567/688/695/315/453/378/806/,2146234,2146234,0,0
1035,SSs4,"Supplemental somatosensory area, layer 4",188064,1,103,378,/997/8/567/688/695/315/453/378/1035/,1167164,1167164,0,0
1090,SSs5,"Supplemental somatosensory area, layer 5",188064,1,104,378,/997/8/567/688/695/315/453/378/1090/,2185516,2185516,0,0
862,SSs6a,"Supplemental somatosensory area, layer 6a",188064,1,105,378,/997/8/567/688/695/315/453/378/862/,2073148,2073148,0,0
893,SSs6b,"Supplemental somatosensory area, layer 6b",188064,1,106,378,/997/8/567/688/695/315/453/378/893/,208036,208036,0,0
1057,GU,Gustatory areas,009C75,1,107,315,/997/8/567/688/695/315/1057/,1768314,1768314,0,0
36,GU1,"Gustatory areas, layer 1",009C75,1,108,1057,/997/8/567/688/695/315/1057/36/,196246,196246,0,0
180,GU2/3,"Gustatory areas, layer 2/3",009C75,1,109,1057,/997/8/567/688/695/315/1057/180/,401948,401948,0,0
148,GU4,"Gustatory areas, layer 4",009C75,1,110,1057,/997/8/567/688/695/315/1057/148/,146630,146630,0,0
187,GU5,"Gustatory areas, layer 5",009C75,1,111,1057,/997/8/567/688/695/315/1057/187/,545318,545318,0,0
638,GU6a,"Gustatory areas, layer 6a",009C75,1,112,1057,/997/8/567/688/695/315/1057/638/,438828,438828,0,0
662,GU6b,"Gustatory areas, layer 6b",009C75,1,113,1057,/997/8/567/688/695/315/1057/662/,39344,39344,0,0
677,VISC,Visceral area,11AD83,1,114,315,/997/8/567/688/695/315/677/,2349560,2349560,0,0
897,VISC1,"Visceral area, layer 1",11AD83,1,115,677,/997/8/567/688/695/315/677/897/,335070,335070,0,0
1106,VISC2/3,"Visceral area, layer 2/3",11AD83,1,116,677,/997/8/567/688/695/315/677/1106/,539812,539812,0,0
1010,VISC4,"Visceral area, layer 4",11AD83,1,117,677,/997/8/567/688/695/315/677/1010/,181330,181330,0,0
1058,VISC5,"Visceral area, layer 5",11AD83,1,118,677,/997/8/567/688/695/315/677/1058/,706434,706434,0,0
857,VISC6a,"Visceral area, layer 6a",11AD83,1,119,677,/997/8/567/688/695/315/677/857/,534756,534756,0,0
849,VISC6b,"Visceral area, layer 6b",11AD83,1,120,677,/997/8/567/688/695/315/677/849/,52158,52158,0,0
247,AUD,Auditory areas,19399,1,121,315,/997/8/567/688/695/315/247/,5794248,5794248,0,0
1011,AUDd,Dorsal auditory area,19399,1,122,247,/997/8/567/688/695/315/247/1011/,1214826,1214826,0,0
527,AUDd1,"Dorsal auditory area, layer 1",19399,1,123,1011,/997/8/567/688/695/315/247/1011/527/,196898,196898,0,0
600,AUDd2/3,"Dorsal auditory area, layer 2/3",19399,1,124,1011,/997/8/567/688/695/315/247/1011/600/,327356,327356,0,0
678,AUDd4,"Dorsal auditory area, layer 4",19399,1,125,1011,/997/8/567/688/695/315/247/1011/678/,132508,132508,0,0
252,AUDd5,"Dorsal auditory area, layer 5",19399,1,126,1011,/997/8/567/688/695/315/247/1011/252/,343066,343066,0,0
156,AUDd6a,"Dorsal auditory area, layer 6a",19399,1,127,1011,/997/8/567/688/695/315/247/1011/156/,184538,184538,0,0
243,AUDd6b,"Dorsal auditory area, layer 6b",19399,1,128,1011,/997/8/567/688/695/315/247/1011/243/,30460,30460,0,0
480149230,VISlla,Laterolateral anterior visual area,19399,1,129,1011,/997/8/567/688/695/315/247/1011/480149230/,,,,
480149234,VISlla1,"Laterolateral anterior visual area, layer 1",19399,1,130,480149230,/997/8/567/688/695/315/247/1011/480149230/480149234/,,,,
480149238,VISlla2/3,"Laterolateral anterior visual area, layer 2/3",19399,1,131,480149230,/997/8/567/688/695/315/247/1011/480149230/480149238/,,,,
480149242,VISlla4,"Laterolateral anterior visual area, layer 4",19399,1,132,480149230,/997/8/567/688/695/315/247/1011/480149230/480149242/,,,,
480149246,VISlla5,"Laterolateral anterior visual area,layer 5",19399,1,133,480149230,/997/8/567/688/695/315/247/1011/480149230/480149246/,,,,
480149250,VISlla6a,"Laterolateral anterior visual area, layer 6a",19399,1,134,480149230,/997/8/567/688/695/315/247/1011/480149230/480149250/,,,,
480149254,VISlla6b,"Laterolateral anterior visual area, layer 6b",19399,1,135,480149230,/997/8/567/688/695/315/247/1011/480149230/480149254/,,,,
1002,AUDp,Primary auditory area,19399,1,136,247,/997/8/567/688/695/315/247/1002/,2148996,2148996,0,0
735,AUDp1,"Primary auditory area, layer 1",19399,1,137,1002,/997/8/567/688/695/315/247/1002/735/,374988,374988,0,0
251,AUDp2/3,"Primary auditory area, layer 2/3",19399,1,138,1002,/997/8/567/688/695/315/247/1002/251/,472208,472208,0,0
816,AUDp4,"Primary auditory area, layer 4",19399,1,139,1002,/997/8/567/688/695/315/247/1002/816/,234926,234926,0,0
847,AUDp5,"Primary auditory area, layer 5",19399,1,140,1002,/997/8/567/688/695/315/247/1002/847/,713892,713892,0,0
954,AUDp6a,"Primary auditory area, layer 6a",19399,1,141,1002,/997/8/567/688/695/315/247/1002/954/,297736,297736,0,0
1005,AUDp6b,"Primary auditory area, layer 6b",19399,1,142,1002,/997/8/567/688/695/315/247/1002/1005/,55246,55246,0,0
1027,AUDpo,Posterior auditory area,19399,1,143,247,/997/8/567/688/695/315/247/1027/,612204,612204,0,0
696,AUDpo1,"Posterior auditory area, layer 1",19399,1,144,1027,/997/8/567/688/695/315/247/1027/696/,112688,112688,0,0
643,AUDpo2/3,"Posterior auditory area, layer 2/3",19399,1,145,1027,/997/8/567/688/695/315/247/1027/643/,146946,146946,0,0
759,AUDpo4,"Posterior auditory area, layer 4",19399,1,146,1027,/997/8/567/688/695/315/247/1027/759/,74198,74198,0,0
791,AUDpo5,"Posterior auditory area, layer 5",19399,1,147,1027,/997/8/567/688/695/315/247/1027/791/,181350,181350,0,0
249,AUDpo6a,"Posterior auditory area, layer 6a",19399,1,148,1027,/997/8/567/688/695/315/247/1027/249/,79384,79384,0,0
456,AUDpo6b,"Posterior auditory area, layer 6b",19399,1,149,1027,/997/8/567/688/695/315/247/1027/456/,17638,17638,0,0
1018,AUDv,Ventral auditory area,19399,1,150,247,/997/8/567/688/695/315/247/1018/,1818222,1818222,0,0
959,AUDv1,"Ventral auditory area, layer 1",19399,1,151,1018,/997/8/567/688/695/315/247/1018/959/,285310,285310,0,0
755,AUDv2/3,"Ventral auditory area, layer 2/3",19399,1,152,1018,/997/8/567/688/695/315/247/1018/755/,387476,387476,0,0
990,AUDv4,"Ventral auditory area, layer 4",19399,1,153,1018,/997/8/567/688/695/315/247/1018/990/,213616,213616,0,0
1023,AUDv5,"Ventral auditory area, layer 5",19399,1,154,1018,/997/8/567/688/695/315/247/1018/1023/,604668,604668,0,0
520,AUDv6a,"Ventral auditory area, layer 6a",19399,1,155,1018,/997/8/567/688/695/315/247/1018/520/,281102,281102,0,0
598,AUDv6b,"Ventral auditory area, layer 6b",19399,1,156,1018,/997/8/567/688/695/315/247/1018/598/,46050,46050,0,0
669,VIS,Visual areas,08858C,1,157,315,/997/8/567/688/695/315/669/,13468260,13468260,0,0
801,VIS1,"Visual areas, layer 1",08858C,1,158,669,/997/8/567/688/695/315/669/801/,,,,
561,VIS2/3,"Visual areas, layer 2/3",08858C,1,159,669,/997/8/567/688/695/315/669/561/,,,,
913,VIS4,"Visual areas, layer 4",08858C,1,160,669,/997/8/567/688/695/315/669/913/,,,,
937,VIS5,"Visual areas, layer 5",08858C,1,161,669,/997/8/567/688/695/315/669/937/,,,,
457,VIS6a,"Visual areas, layer 6a",08858C,1,162,669,/997/8/567/688/695/315/669/457/,,,,
497,VIS6b,"Visual areas, layer 6b",08858C,1,163,669,/997/8/567/688/695/315/669/497/,,,,
402,VISal,Anterolateral visual area,08858C,1,164,669,/997/8/567/688/695/315/669/402/,758224,758224,0,0
1074,VISal1,"Anterolateral visual area, layer 1",08858C,1,165,402,/997/8/567/688/695/315/669/402/1074/,117892,117892,0,0
905,VISal2/3,"Anterolateral visual area, layer 2/3",08858C,1,166,402,/997/8/567/688/695/315/669/402/905/,199314,199314,0,0
1114,VISal4,"Anterolateral visual area, layer 4",08858C,1,167,402,/997/8/567/688/695/315/669/402/1114/,104152,104152,0,0
233,VISal5,"Anterolateral visual area, layer 5",08858C,1,168,402,/997/8/567/688/695/315/669/402/233/,202942,202942,0,0
601,VISal6a,"Anterolateral visual area, layer 6a",08858C,1,169,402,/997/8/567/688/695/315/669/402/601/,111674,111674,0,0
649,VISal6b,"Anterolateral visual area, layer 6b",08858C,1,170,402,/997/8/567/688/695/315/669/402/649/,22250,22250,0,0
394,VISam,Anteromedial visual area,08858C,1,171,669,/997/8/567/688/695/315/669/394/,792558,792558,0,0
281,VISam1,"Anteromedial visual area, layer 1",08858C,1,172,394,/997/8/567/688/695/315/669/394/281/,136038,136038,0,0
1066,VISam2/3,"Anteromedial visual area, layer 2/3",08858C,1,173,394,/997/8/567/688/695/315/669/394/1066/,206952,206952,0,0
401,VISam4,"Anteromedial visual area, layer 4",08858C,1,174,394,/997/8/567/688/695/315/669/394/401/,59858,59858,0,0
433,VISam5,"Anteromedial visual area, layer 5",08858C,1,175,394,/997/8/567/688/695/315/669/394/433/,227464,227464,0,0
1046,VISam6a,"Anteromedial visual area, layer 6a",08858C,1,176,394,/997/8/567/688/695/315/669/394/1046/,138620,138620,0,0
441,VISam6b,"Anteromedial visual area, layer 6b",08858C,1,177,394,/997/8/567/688/695/315/669/394/441/,23626,23626,0,0
409,VISl,Lateral visual area,08858C,1,178,669,/997/8/567/688/695/315/669/409/,1225624,1225624,0,0
421,VISl1,"Lateral visual area, layer 1",08858C,1,179,409,/997/8/567/688/695/315/669/409/421/,185148,185148,0,0
973,VISl2/3,"Lateral visual area, layer 2/3",08858C,1,180,409,/997/8/567/688/695/315/669/409/973/,301588,301588,0,0
573,VISl4,"Lateral visual area, layer 4",08858C,1,181,409,/997/8/567/688/695/315/669/409/573/,179084,179084,0,0
613,VISl5,"Lateral visual area, layer 5",08858C,1,182,409,/997/8/567/688/695/315/669/409/613/,314522,314522,0,0
74,VISl6a,"Lateral visual area, layer 6a",08858C,1,183,409,/997/8/567/688/695/315/669/409/74/,207042,207042,0,0
121,VISl6b,"Lateral visual area, layer 6b",08858C,1,184,409,/997/8/567/688/695/315/669/409/121/,38240,38240,0,0
385,VISp,Primary visual area,08858C,1,185,669,/997/8/567/688/695/315/669/385/,7074134,7074134,0,0
593,VISp1,"Primary visual area, layer 1",08858C,1,186,385,/997/8/567/688/695/315/669/385/593/,1263430,1263430,0,0
821,VISp2/3,"Primary visual area, layer 2/3",08858C,1,187,385,/997/8/567/688/695/315/669/385/821/,1999040,1999040,0,0
721,VISp4,"Primary visual area, layer 4",08858C,1,188,385,/997/8/567/688/695/315/669/385/721/,1023640,1023640,0,0
778,VISp5,"Primary visual area, layer 5",08858C,1,189,385,/997/8/567/688/695/315/669/385/778/,1552688,1552688,0,0
33,VISp6a,"Primary visual area, layer 6a",08858C,1,190,385,/997/8/567/688/695/315/669/385/33/,1070864,1070864,0,0
305,VISp6b,"Primary visual area, layer 6b",08858C,1,191,385,/997/8/567/688/695/315/669/385/305/,164472,164472,0,0
425,VISpl,Posterolateral visual area,08858C,1,192,669,/997/8/567/688/695/315/669/425/,794466,794466,0,0
750,VISpl1,"Posterolateral visual area, layer 1",08858C,1,193,425,/997/8/567/688/695/315/669/425/750/,193790,193790,0,0
269,VISpl2/3,"Posterolateral visual area, layer 2/3",08858C,1,194,425,/997/8/567/688/695/315/669/425/269/,205150,205150,0,0
869,VISpl4,"Posterolateral visual area, layer 4",08858C,1,195,425,/997/8/567/688/695/315/669/425/869/,36638,36638,0,0
902,VISpl5,"Posterolateral visual area, layer 5",08858C,1,196,425,/997/8/567/688/695/315/669/425/902/,242812,242812,0,0
377,VISpl6a,"Posterolateral visual area, layer 6a",08858C,1,197,425,/997/8/567/688/695/315/669/425/377/,107274,107274,0,0
393,VISpl6b,"Posterolateral visual area, layer 6b",08858C,1,198,425,/997/8/567/688/695/315/669/425/393/,8802,8802,0,0
533,VISpm,posteromedial visual area,08858C,1,199,669,/997/8/567/688/695/315/669/533/,1048764,1048764,0,0
805,VISpm1,"posteromedial visual area, layer 1",08858C,1,200,533,/997/8/567/688/695/315/669/533/805/,190650,190650,0,0
41,VISpm2/3,"posteromedial visual area, layer 2/3",08858C,1,201,533,/997/8/567/688/695/315/669/533/41/,292206,292206,0,0
501,VISpm4,"posteromedial visual area, layer 4",08858C,1,202,533,/997/8/567/688/695/315/669/533/501/,98818,98818,0,0
565,VISpm5,"posteromedial visual area, layer 5",08858C,1,203,533,/997/8/567/688/695/315/669/533/565/,287120,287120,0,0
257,VISpm6a,"posteromedial visual area, layer 6a",08858C,1,204,533,/997/8/567/688/695/315/669/533/257/,151974,151974,0,0
469,VISpm6b,"posteromedial visual area, layer 6b",08858C,1,205,533,/997/8/567/688/695/315/669/533/469/,27996,27996,0,0
312782574,VISli,Laterointermediate area,08858C,1,206,669,/997/8/567/688/695/315/669/312782574/,492086,492086,0,0
312782578,VISli1,"Laterointermediate area, layer 1",08858C,1,207,312782574,/997/8/567/688/695/315/669/312782574/312782578/,74152,74152,0,0
312782582,VISli2/3,"Laterointermediate area, layer 2/3",08858C,1,208,312782574,/997/8/567/688/695/315/669/312782574/312782582/,117252,117252,0,0
312782586,VISli4,"Laterointermediate area, layer 4",08858C,1,209,312782574,/997/8/567/688/695/315/669/312782574/312782586/,57256,57256,0,0
312782590,VISli5,"Laterointermediate area, layer 5",08858C,1,210,312782574,/997/8/567/688/695/315/669/312782574/312782590/,147946,147946,0,0
312782594,VISli6a,"Laterointermediate area, layer 6a",08858C,1,211,312782574,/997/8/567/688/695/315/669/312782574/312782594/,79344,79344,0,0
312782598,VISli6b,"Laterointermediate area, layer 6b",08858C,1,212,312782574,/997/8/567/688/695/315/669/312782574/312782598/,16136,16136,0,0
312782628,VISpor,Postrhinal area,08858C,1,213,669,/997/8/567/688/695/315/669/312782628/,1282404,1282404,0,0
